match_id,date,season,tournament_name,is_worldcup,match_stage,team1,team2,venue,city,toss_winner,toss_decision,winner,result_type,format,innings1_team,innings1_runs,innings1_wkts,innings1_overs,innings2_team,innings2_runs,innings2_wkts,innings2_overs,year,month,batting_first,chasing_team,first_innings_score,second_innings_score,match_result,elo_team1,elo_team2,elo_diff,team1_form_5,team2_form_5,team1_form_10,team2_form_10,h2h_win_pct
-670645791,11/29/2025,2025,Myanmar Women tour of Singapore,FALSE,,Singapore,Myanmar,Singapore National Cricket Ground,Singapore,Myanmar,field,Myanmar,unknown,T20,Singapore,92,9,21.3,Myanmar,93,2,16.5,2025,11,Singapore,Myanmar,92,93,completed,1377.576502,1452.17593,-74.59942796,0.6,0.6,0.5,0.6,0.111111111
-570940623,11/30/2025,2025,Brazil tour of Argentina,FALSE,,Argentina,Brazil,"St Albans Club, Buenos Aires",Buenos Aires,Brazil,field,Argentina,unknown,T20,Argentina,143,4,20.8,Brazil,99,7,21.2,2025,11,Argentina,Brazil,143,99,completed,1455.504065,1480.546073,-25.04200833,0.3,0.7,0.35,0.55,0.285714286
7443913015,11/30/2025,2025,ICC Women's Emerging Nations Trophy,FALSE,,Uganda,Netherlands,"Terdthai Cricket Ground, Bangkok",Bangkok,Netherlands,field,Netherlands,unknown,T20,Uganda,111,6,20.8,Netherlands,112,4,16,2025,11,Uganda,Netherlands,111,112,completed,1708.405714,1699.613276,8.79243827,0.4,0.8,0.6,0.55,0
-651552270,11/30/2025,2025,ICC Women's Emerging Nations Trophy,FALSE,,United Arab Emirates,Namibia,"Asian Institute of Technology Ground, Bangkok",Bangkok,United Arab Emirates,bat,United Arab Emirates,unknown,T20,United Arab Emirates,153,3,21.2,Namibia,125,7,20.7,2025,11,United Arab Emirates,Namibia,153,125,completed,1692.334683,1575.179444,117.1552382,0.6,0.2,0.6,0.2,0.571428571
-819520616,11/30/2025,2025,ICC Women's Emerging Nations Trophy,FALSE,,Scotland,Thailand,"Asian Institute of Technology Ground, Bangkok",Bangkok,Scotland,bat,Thailand,unknown,T20,Scotland,63,10,15.8,Thailand,65,7,11.7,2025,11,Scotland,Thailand,63,65,completed,1711.180277,1676.959799,34.22047842,0.8,0.6,0.8,0.6,0.75
-660643367,11/30/2025,2025,ICC Women's Emerging Nations Trophy,FALSE,,Papua New Guinea,Tanzania,"Terdthai Cricket Ground, Bangkok",Bangkok,Papua New Guinea,bat,Papua New Guinea,unknown,T20,Papua New Guinea,100,10,20.5,Tanzania,80,8,20.7,2025,11,Papua New Guinea,Tanzania,100,80,completed,1604.845532,1578.926234,25.91929802,0.6,0,0.4,0.25,0.5
-867964481,11/30/2025,2025,Myanmar Women tour of Singapore,FALSE,,Myanmar,Singapore,Singapore National Cricket Ground,Singapore,Singapore,field,Myanmar,unknown,T20,Myanmar,114,6,21.5,Singapore,103,3,20.3,2025,11,Myanmar,Singapore,114,103,completed,1464.792337,1364.960094,99.83224273,0.8,0.6,0.6,0.4,0.9
9046952037,11/30/2025,2025,Mini SEA Men's Twenty20 Cricket Competition,FALSE,,Thailand,Bahrain,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,Bahrain,field,Bahrain,unknown,T20,Thailand,69,8,20,Bahrain,70,3,11.2,2025,11,Thailand,Bahrain,69,70,completed,1694.530634,1652.045047,42.48558725,0.6,0.7,0.6,0.85,1
-556257942,12/2/2025,2025,Ireland tour of Bangladesh,FALSE,,Ireland,Bangladesh,"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",Chattogram,Ireland,bat,Bangladesh,unknown,T20,Ireland,117,10,20,Bangladesh,119,2,14.5,2025,12,Ireland,Bangladesh,117,119,completed,1728.745622,1588.417462,140.3281602,0.4,0.2,0.7,0.3,0.416666667
-549902154,12/4/2025,2025,West Africa Trophy,FALSE,,Nigeria,Zambia,"Nigeria Cricket Federation Oval 1, Abuja",Abuja,Zambia,field,Nigeria,unknown,T20,Nigeria,138,8,20.8,Zambia,119,10,19.8,2025,12,Nigeria,Zambia,138,119,completed,1505.661607,1500,5.661606514,0.4,0.5,0.4,0.5,0.5
